interactant_id,polypeptide_id
BE0002217,Q9GZT9
BE0002211,Q96KS0
BE0002219,Q9H6Z9
BE0001979,Q16881
BE0000530,P02768
BE0000168,Q9UHI7
BE0009869,Q9UGH3
BE0001057,P11166
BE0004707,P11169
BE0000893,P14672
BE0003634,Q9ULX7
BE0003628,P23280
BE0002437,Q16790
BE0000365,Q05586
BE0000535,P22748
BE0000760,Q12879
BE0000404,P11926
BE0000509,P41180
BE0000172,P08588
BE0000694,P07550
BE0000111,P21673
BE0002204,P47989
BE0000757,Q9H015
BE0003648,O15245
BE0000365,Q05586
BE0000417,Q13224
BE0000760,Q12879
BE0009692,Q8N142
BE0009692,P30520
BE0000277,Q9UJS0
BE0000529,P17174
BE0000187,P45381
BE0000219,P08243
BE0000671,P00966
BE0000481,Q03154
BE0000383,P00505
BE0000725,P14868
BE0000235,O75746
BE0000528,Q12797
BE0002225,P22234
BE0002228,P30520
BE0001054,P43005
BE0002229,Q6PI48
BE0002230,Q7L266
BE0003317,P07998
BE0003751,P61626
BE0002227,P27708
BE0003654,Q8TF71
BE0000424,P04181
BE0000306,P00480
BE0000286,P05089
BE0000371,P54368
BE0000212,P30825
BE0000562,P52569
BE0000258,Q9BXI2
BE0000758,P78540
BE0000201,Q9Y619
BE0000347,P50440
BE0000874,P17812
BE0000374,Q06203
BE0002240,P15104
BE0000004,P00488
BE0000825,O94925
BE0000003,Q9UI32
BE0001035,P21980
BE0002236,O43548
BE0002239,O95932
BE0002241,P22735
BE0002243,P49221
BE0001273,Q08188
BE0002245,Q96PF1
BE0000321,P49915
BE0000219,P08243
BE0000273,Q16773
BE0002235,O15067
BE0002237,O75879
BE0002238,O94808
BE0002227,P27708
BE0002242,P47897
BE0002244,Q6IA69
BE0009870,Q9H2H9
BE0009871,Q96QD8
BE0000285,Q99624
BE0000236,Q15758
BE0000423,Q9UN76
BE0004769,Q9UM01
BE0009872,Q92536
BE0000222,Q01650
BE0000789,Q9UHI5
BE0002251,P82251
BE0003654,Q8TF71
BE0004907,Q13131
BE0004907,P54646
BE0004907,Q9Y478
BE0004907,O43741
BE0004907,P54619
BE0004907,Q9UGJ0
BE0004907,Q9UGI9
BE0003540,P55263
