salt_id,drugbank_id,name,unii,cas_number,inchikey,average_mass,monoisotopic_mass
DBSALT002262,DB02701,Nicotinamide hydrochloride,4D16EOF1QW,25334-23-0,OBLVPWTUALCMGD-UHFFFAOYSA-N,158.59,158.0246906
DBSALT000340,DB02703,Fucidate sodium,J7P3696BCQ,751-94-0,HJHVQCXHVMGZNC-JCJNLNMISA-M,538.701,538.32703351
DBSALT002972,DB02703,Fusidic acid hemihydrate,W540G73230,172343-30-5,CSXHKOSAWQTJBT-YDYKLMMDSA-N,1051.453,1050.700743216
DBSALT002689,DB03088,Magnesium pidolate,V5PC588N7G,62003-27-4,JQAACYUZYRBHGG-QHTZZOMLSA-L,280.519,280.05457781
DBSALT003084,DB03088,Sodium pidolate,469OTG57A2,54571-67-4,CRPCXAMJWCDHFM-UHFFFAOYSA-M,151.097,151.02453734
DBSALT001565,DB03088,Zinc pidolate,C32PQ86DH4,15454-75-8,OWVLYQRCCIEOPF-QHTZZOMLSA-L,321.59,319.998678
DBSALT002814,DB03128,Acetylcholine chloride,AF73293C2R,60-31-1,JUGOREOARAHOCO-UHFFFAOYSA-N,182.67,182.0942329
DBSALT000903,DB03147,Flavin adenine dinucleotide disodium,67U7UHJ04C,84366-81-4,XLRHXNIVIZZOON-WFUPGROFSA-N,831.535,831.13557679
DBSALT001274,DB03209,Oteracil potassium,4R7FFA00RX,2207-75-2,IAPCTXZQXAVYNG-UHFFFAOYSA-M,195.175,194.96823705
DBSALT001766,DB03247,Riboflavin 5'-phosphate sodium anhydrous,957E53WV42,130-40-5,OHSHFZJLPYLRIP-BMZHGHOISA-M,478.33,478.08655952
DBSALT003355,DB03247,Riboflavin sodium phosphate,,130-40-5,,,
DBSALT000877,DB03247,Riboflavin-5'-phosphate sodium salt dihydrate,20RD1DZH99,6184-17-4,LQVGUKOCMOKKJU-QPVGXXQTSA-M,514.36,514.10768889
DBSALT001825,DB03585,Oxyphenbutazone monohydrate,H806S4B3NS,7081-38-1,CNDQSXOVEQXJOE-UHFFFAOYSA-N,342.395,342.157957196
DBSALT002405,DB03604,Tiratricol sodium,3HK9045D54,1477-04-9,BBBAIWCYEJXUMH-UHFFFAOYSA-M,643.917,643.74544
DBSALT002372,DB03615,Ribostamycin sulfate,QFN1QU7PEN,53797-35-6,RTCDDYYZMGGHOE-YMSVYGIHSA-N,552.55,552.194873029
DBSALT003570,DB03619,Sodium deoxycholate,436LS6U35Y,302-95-4,,,
DBSALT002309,DB03756,Doconexent sodium,295P7EPT4C,81926-93-4,SNNDEWVSGZRIFE-FPYKSTABSA-M,350.478,350.22217452
DBSALT002690,DB03766,Sodium propionate,9Z979E349R,6700-17-0,HOAUAOBUGFYWMK-UHFFFAOYSA-M,114.076,114.02928837
DBSALT003370,DB03793,Calcium benzoate,3QDE968MKD,2090-05-3,,,
DBSALT001289,DB03793,Sodium benzoate,OJ245FE5EU,532-32-1,WXMKPNITSTVMEF-UHFFFAOYSA-M,144.1032,144.018724079
DBSALT003198,DB03796,16-chloropalmitic acid,,,,,
DBSALT003112,DB03808,Hexamidine diisethionate,023XA5Z50L,659-40-5,NBVZMBLJRHUOJR-UHFFFAOYSA-N,606.71,606.202935788
DBSALT002313,DB04115,Berberine chloride,UOT4O1BYV8,633-65-8,VKJGBAJNNALVAV-UHFFFAOYSA-M,371.814,371.092435776
DBSALT002312,DB04115,Berberine sulfate anhydrous,FST3E667FF,316-41-6,OJVABJMSSDUECT-UHFFFAOYSA-L,768.79,768.198895781
DBSALT001492,DB04160,Sodium pyrophosphate,O352864B8Z,7722-88-5,FQENQNTWSFEDLI-UHFFFAOYSA-J,265.9024,265.871004078
DBSALT003136,DB04160,Sodium pyrophosphate decahydrate,IY3DKB96QW,13472-36-1,VZWGHDYJGOMEKT-UHFFFAOYSA-J,446.05,445.9766503
DBSALT002402,DB04209,Dequalinium acetate,P8W4UX112S,4028-98-2,IWYNVAJACBPVLT-UHFFFAOYSA-N,574.766,574.351905977
DBSALT002400,DB04209,Dequalinium bromide,,,,,
DBSALT001926,DB04209,Dequalinium chloride,XYS8INN1I6,522-51-0,LTNZEXKYNRNOGT-UHFFFAOYSA-N,527.58,526.2630027
DBSALT002401,DB04209,Dequalinium iodide,,,,,
DBSALT002403,DB04209,Dequalinium undecenoate,,,,,
DBSALT002532,DB04221,Didecyldimethylammonium chloride,JXN40O9Y9B,7173-51-5,RUPBZQFQVRMKDG-UHFFFAOYSA-M,362.08,361.3475282
DBSALT003147,DB04224,Calcium oleate,4K5QQP44TZ,142-17-6,ZCZLQYAECBEUBH-CVBJKYQLSA-L,884.459,883.7073054
DBSALT001653,DB04224,Oleate sodium,399SL044HN,143-19-1,BCKXLBQYZLBQEK-KVVVOXFISA-M,304.4432,304.237824975
DBSALT001502,DB04272,Citric acid monohydrate,2968PHW8QP,5949-29-1,YASYEJJMZJALEJ-UHFFFAOYSA-N,210.138,210.037567282
DBSALT003064,DB04339,Carbocisteine lysine,1D1Y95PXXA,49673-81-6,SAGXGPWVLUSDSQ-RVZXSAGBSA-N,325.38,325.130756647
DBSALT002887,DB04348,Sodium taurocholate,M6N3TH81NO,145-42-6,JAJWGJBVLPIOOH-IZYKLYLVSA-M,537.69,537.27361821
