ref_pk,drugbank_id,interactant_id
617,DB00052,BE0000075
618,DB00052,BE0000075
619,DB00052,BE0000075
620,DB00052,BE0000075
621,DB00052,BE0000075
17,DB00052,BE0000075
603,DB00052,BE0000075
622,DB00052,BE0000345
623,DB00052,BE0000345
624,DB00052,BE0000345
625,DB00052,BE0000345
626,DB00052,BE0002433
626,DB00052,BE0003536
627,DB00052,BE0001032
628,DB00053,
628,DB00053,BE0004806
629,DB00054,
630,DB00054,
631,DB00054,BE0001155
632,DB00054,BE0001155
633,DB00054,BE0001155
17,DB00054,BE0001155
634,DB00054,BE0001155
635,DB00054,BE0001155
636,DB00054,BE0000439
634,DB00054,BE0000439
635,DB00054,BE0000439
637,DB00054,BE0001068
635,DB00054,BE0001068
638,DB00055,BE0000016
639,DB00055,BE0000016
17,DB00055,BE0000016
640,DB00055,BE0000016
641,DB00055,BE0000041
642,DB00055,BE0000041
643,DB00055,BE0000041
644,DB00055,BE0000041
645,DB00055,BE0000041
17,DB00055,BE0000041
640,DB00055,BE0000041
646,DB00055,BE0000240
647,DB00055,BE0000240
648,DB00055,BE0000240
649,DB00055,BE0000240
650,DB00055,BE0001151
651,DB00055,BE0001151
652,DB00055,BE0001151
653,DB00055,BE0001151
654,DB00055,BE0001151
655,DB00055,BE0000943
656,DB00055,BE0000943
657,DB00055,BE0000943
658,DB00055,BE0000048
655,DB00055,BE0000048
659,DB00055,BE0000048
660,DB00055,BE0000048
661,DB00055,BE0000048
646,DB00055,BE0001129
662,DB00055,BE0002112
663,DB00055,BE0002112
664,DB00055,BE0002112
665,DB00055,BE0002112
666,DB00055,BE0002112
667,DB00055,BE0002142
668,DB00055,BE0001161
669,DB00055,BE0001161
670,DB00055,BE0001161
647,DB00055,BE0001161
671,DB00055,BE0001161
672,DB00056,
673,DB00056,
674,DB00056,
675,DB00056,
676,DB00056,
677,DB00056,BE0000674
678,DB00056,BE0000674
679,DB00056,BE0000674
672,DB00056,BE0000674
680,DB00056,BE0000674
681,DB00056,BE0000674
17,DB00056,BE0000674
682,DB00056,BE0000674
683,DB00056,BE0000901
684,DB00056,BE0000901
685,DB00056,BE0000901
685,DB00056,BE0002097
685,DB00056,BE0000710
686,DB00057,
687,DB00057,
688,DB00057,BE0004842
689,DB00058,
690,DB00058,
691,DB00058,BE0000394
689,DB00058,BE0000394
17,DB00058,BE0000394
692,DB00059,
693,DB00059,
694,DB00059,
695,DB00059,
696,DB00059,
697,DB00059,
698,DB00059,BE0004798
227,DB00059,BE0004798
699,DB00059,BE0004798
696,DB00059,BE0004798
700,DB00059,BE0000537
701,DB00059,BE0000537
702,DB00060,BE0000661
703,DB00060,BE0000661
704,DB00060,BE0000661
705,DB00060,BE0000661
703,DB00060,BE0000385
705,DB00060,BE0000385
16,DB00060,BE0000926
126,DB00060,BE0002433
706,DB00061,BE0004828
707,DB00061,BE0004828
708,DB00061,BE0004828
709,DB00061,BE0000917
710,DB00062,
711,DB00062,
712,DB00062,
713,DB00062,
714,DB00062,
715,DB00062,
716,DB00062,
717,DB00062,
718,DB00062,
719,DB00062,
720,DB00062,
721,DB00062,
722,DB00062,
723,DB00062,
714,DB00062,BE0009576
724,DB00062,BE0009576
725,DB00062,BE0009576
726,DB00063,
727,DB00063,
631,DB00063,BE0001155
728,DB00063,BE0001155
729,DB00063,BE0001155
730,DB00063,BE0001155
731,DB00063,BE0001155
732,DB00063,BE0001155
733,DB00063,BE0001155
16,DB00063,BE0001155
16,DB00063,BE0000439
734,DB00063,BE0009351
735,DB00065,
736,DB00065,
737,DB00065,
738,DB00065,
739,DB00065,
740,DB00065,
741,DB00065,
742,DB00065,
17,DB00065,BE0000704
743,DB00065,BE0000704
744,DB00065,BE0000704
745,DB00065,BE0000704
746,DB00065,BE0000704
747,DB00065,BE0000704
748,DB00065,BE0000704
749,DB00065,BE0000704
750,DB00065,BE0000704
751,DB00065,BE0000704
752,DB00065,BE0000704
753,DB00066,
754,DB00066,BE0000387
755,DB00066,BE0000387
756,DB00066,BE0000387
757,DB00066,BE0000387
758,DB00066,BE0000387
753,DB00066,BE0000387
17,DB00066,BE0000387
759,DB00067,
760,DB00067,
761,DB00067,
762,DB00067,
763,DB00067,
764,DB00067,
765,DB00067,
766,DB00067,
767,DB00067,
768,DB00067,
769,DB00067,BE0000293
382,DB00067,BE0000293
770,DB00067,BE0000293
771,DB00067,BE0000293
17,DB00067,BE0000293
764,DB00067,BE0000293
772,DB00067,BE0000293
773,DB00067,BE0000293
16,DB00067,BE0000293
774,DB00067,BE0000293
384,DB00067,BE0000293
775,DB00067,BE0000293
776,DB00067,BE0000293
390,DB00067,BE0000293
768,DB00067,BE0000293
777,DB00067,BE0000165
778,DB00067,BE0000165
779,DB00067,BE0000165
780,DB00067,BE0000165
781,DB00067,BE0000165
764,DB00067,BE0000165
772,DB00067,BE0000165
773,DB00067,BE0000165
775,DB00067,BE0000165
384,DB00067,BE0000165
782,DB00067,BE0000165
783,DB00067,BE0000165
768,DB00067,BE0000165
784,DB00067,BE0000773
785,DB00067,BE0000773
786,DB00067,BE0000773
787,DB00067,BE0000773
788,DB00067,BE0000773
764,DB00067,BE0000773
775,DB00067,BE0000773
384,DB00067,BE0000773
782,DB00067,BE0000773
783,DB00067,BE0000773
768,DB00067,BE0000773
765,DB00067,BE0000844
782,DB00067,BE0000844
384,DB00067,BE0000844
789,DB00067,BE0000844
783,DB00067,BE0000844
790,DB00067,BE0001069
791,DB00067,BE0001069
384,DB00067,BE0001069
792,DB00068,
793,DB00068,
702,DB00068,BE0000661
17,DB00068,BE0000661
702,DB00068,BE0000385
17,DB00068,BE0000385
126,DB00068,BE0002433
794,DB00069,
795,DB00069,
796,DB00069,BE0000661
17,DB00069,BE0000661
794,DB00069,BE0000385
796,DB00069,BE0000385
17,DB00069,BE0000385
126,DB00069,BE0002433
797,DB00070,
798,DB00070,BE0000984
799,DB00070,BE0000984
800,DB00070,BE0000984
801,DB00070,BE0000984
802,DB00070,BE0000530
803,DB00070,BE0000530
324,DB00071,BE0000033
323,DB00071,BE0000033
17,DB00071,BE0000033
16,DB00071,BE0000033
804,DB00071,BE0000858
805,DB00071,BE0000858
806,DB00071,BE0000858
343,DB00071,BE0002433
344,DB00071,BE0002433
807,DB00071,BE0001183
808,DB00071,BE0001183
809,DB00071,BE0001183
810,DB00071,BE0001183
811,DB00072,
812,DB00072,
813,DB00072,
814,DB00072,
815,DB00072,
816,DB00072,
817,DB00072,
818,DB00072,
819,DB00072,
820,DB00072,
821,DB00072,
822,DB00072,
823,DB00072,
824,DB00072,
825,DB00072,
826,DB00072,
827,DB00072,
828,DB00072,
829,DB00072,
830,DB00072,
831,DB00072,
832,DB00072,
833,DB00072,
834,DB00072,
835,DB00072,
836,DB00072,
837,DB00072,
838,DB00072,
17,DB00072,BE0000511
839,DB00072,BE0000511
840,DB00072,BE0000511
841,DB00072,BE0000511
842,DB00073,
843,DB00073,
844,DB00073,
845,DB00073,
22,DB00073,
846,DB00073,
847,DB00073,
848,DB00073,
849,DB00073,
850,DB00073,
851,DB00073,
852,DB00073,
853,DB00073,
854,DB00073,
855,DB00073,
856,DB00073,
857,DB00073,
858,DB00073,
17,DB00073,BE0000066
859,DB00073,BE0000066
860,DB00073,BE0000066
842,DB00073,BE0000066
861,DB00073,BE0000066
862,DB00073,BE0000066
682,DB00073,BE0000066
863,DB00073,BE0000066
864,DB00074,BE0000658
865,DB00074,BE0000658
866,DB00074,BE0000658
867,DB00074,BE0000658
868,DB00074,BE0000658
17,DB00074,BE0000658
869,DB00074,BE0000651
870,DB00074,BE0000651
871,DB00074,BE0000651
872,DB00074,BE0000651
873,DB00074,BE0000651
17,DB00074,BE0000651
874,DB00075,BE0003456
875,DB00075,BE0003456
17,DB00075,BE0000274
874,DB00075,BE0003457
875,DB00075,BE0003457
874,DB00075,BE0003458
875,DB00075,BE0003458
876,DB00075,BE0000901
877,DB00075,BE0000901
878,DB00076,BE0004837
879,DB00076,BE0004837
880,DB00076,BE0004837
881,DB00076,BE0004837
882,DB00078,
883,DB00078,BE0000066
884,DB00078,BE0000066
885,DB00078,BE0000066
886,DB00078,BE0000066
887,DB00078,BE0000066
17,DB00078,BE0000066
888,DB00078,BE0000066
682,DB00078,BE0000066
889,DB00080,
890,DB00080,
891,DB00080,
892,DB00080,
893,DB00080,
894,DB00080,
895,DB00080,
896,DB00080,
897,DB00080,
898,DB00080,
899,DB00080,
900,DB00080,
901,DB00080,
902,DB00080,
903,DB00080,
904,DB00080,
905,DB00080,
906,DB00080,
907,DB00080,
908,DB00080,
909,DB00080,
910,DB00080,
894,DB00080,BE0010021
895,DB00080,BE0010021
896,DB00080,BE0010021
898,DB00080,BE0010021
899,DB00080,BE0010021
900,DB00080,BE0010021
901,DB00080,BE0010021
902,DB00080,BE0010021
903,DB00080,BE0010021
909,DB00080,BE0010021
16,DB00080,BE0000803
906,DB00080,BE0000530
907,DB00080,BE0000530
908,DB00080,BE0000530
909,DB00080,BE0000530
906,DB00080,BE0000925
907,DB00080,BE0000925
908,DB00080,BE0000925
