reaction_id,drugbank_id,sequence,left_element_id,left_element_name,right_element_id,right_element_name,enzymes
3411,DB11251,6,DBMET02038,CDMHHC,DBMET02039,CMBHC,
3412,DB11251,7,DBMET02039,CMBHC,DBMET02040,CEHC,
3413,DB11282,1,DB11282,Diethyltoluamide,DBMET01776,"N,N-diethyl-m-hydroxymethylbenzamide",BE0002433|Cytochrome P450 1A2|P05177||BE0003549|Cytochrome P450 2B6|P20813||BE0002363|Cytochrome P450 2D6|P10635||BE0003533|Cytochrome P450 2E1|P05181
3414,DB11282,1,DB11282,Diethyltoluamide,DB11282,Diethyltoluamide,BE0003543|Cytochrome P450 1A1|P04798||BE0003549|Cytochrome P450 2B6|P20813||BE0002363|Cytochrome P450 2D6|P10635||BE0003533|Cytochrome P450 2E1|P05181
3415,DB11282,1,DB11282,Diethyltoluamide,DBMET01777,N-ethyl-m-toluamide,BE0003536|Cytochrome P450 2C19|P33261||BE0002638|Cytochrome P450 3A4|P08684
3416,DB11282,1,DB11282,Diethyltoluamide,DBMET00328,acetaldehyde,BE0003536|Cytochrome P450 2C19|P33261||BE0002638|Cytochrome P450 3A4|P08684
3417,DB11296,1,DB11296,Prezatide,DBMET01483,Histidyl-lysine,
3418,DB11345,1,DB11345,(S)-camphor,DBMET02114,5-exo-hydroxyfenchone,BE0003336|Cytochrome P450 2A6|P11509
3419,DB11358,1,DB11358,Evening primrose oil,DB13854,Gamolenic acid,BE0000888|Acyl-CoA (8-3)-desaturase|O60427
3420,DB11358,2,DB13854,Gamolenic acid,DB00154,Daleuton,BE0009375|Very long chain fatty acid elongase 5|Q9NYP7||BE0002247|Very long chain fatty acid elongase 4|Q9GZR5
3421,DB11358,3,DB00154,Daleuton,DBMET02087,15-HETrE,BE0000309|Polyunsaturated fatty acid lipoxygenase ALOX15|P16050||BE0000017|Prostaglandin G/H synthase 1|P23219||BE0000262|Prostaglandin G/H synthase 2|P35354
3422,DB11358,3,DB00154,Daleuton,DBMET02086,Prostaglandin E1,BE0000309|Polyunsaturated fatty acid lipoxygenase ALOX15|P16050||BE0000017|Prostaglandin G/H synthase 1|P23219||BE0000262|Prostaglandin G/H synthase 2|P35354
3423,DB11358,3,DB00154,Daleuton,DB04557,Arachidonic Acid,BE0002246|Acyl-CoA 6-desaturase|O95864
3424,DB11362,1,DB11362,Selexipag,DBMET01403,ACT-333679,BE0002705|Liver carboxylesterase 1|P23141
3425,DB11362,2,DBMET01403,ACT-333679,DBMET02144,ACT-333679 glucuronide,BE0003677|UDP-glucuronosyltransferase 1A3|P35503||BE0003679|UDP-glucuronosyltransferase 2B7|P16662
3426,DB11363,1,DB11363,Alectinib,DBMET01404,M4,BE0002638|Cytochrome P450 3A4|P08684
